Date,Open,High,Low,Close,Adj Close,Volume
2007-01-03,45.150002,45.860001,44.970001,45.169998,43.044930,3780000
2007-01-04,45.160000,45.720001,45.060001,45.639999,43.492813,3602100
2007-01-05,45.500000,45.599998,44.820000,45.009998,42.892452,1955700
2007-01-08,44.970001,45.240002,44.540001,44.930000,42.816216,2385800
2007-01-09,45.900002,46.580002,45.610001,46.200001,44.026482,5614000
2007-01-10,46.200001,47.340000,45.799999,47.189999,44.969875,4502800
2007-01-11,47.400002,48.750000,46.970001,48.709999,46.418381,5475200
2007-01-12,48.610001,49.040001,48.049999,48.380001,46.103916,3154000
2007-01-16,48.500000,48.669998,47.880001,48.040001,45.779896,1769200
2007-01-17,48.250000,49.430000,48.000000,48.820000,46.523209,6154600
2007-01-18,48.880001,49.060001,48.610001,48.689999,46.399326,5549100
2007-01-19,48.799999,49.080002,48.330002,49.049999,46.742390,3038500
2007-01-22,49.119999,49.299999,47.900002,48.090000,45.827549,2915200
2007-01-23,48.090000,48.529999,47.860001,48.020000,45.760834,2616900
2007-01-24,48.169998,48.540001,48.000000,48.419998,46.142025,3859500
2007-01-25,48.480000,48.560001,47.619999,47.689999,45.446365,2740100
2007-01-26,47.689999,48.000000,47.610001,47.820000,45.570251,2769500
2007-01-29,47.830002,47.950001,47.200001,47.330002,45.103302,3806100
2007-01-30,47.650002,47.799999,47.169998,47.389999,45.160473,3198200
2007-01-31,47.430000,47.980000,47.200001,47.849998,45.598843,2618200
2007-02-01,48.200001,49.040001,48.060001,48.880001,46.580383,3766100
2007-02-02,48.720001,49.529999,48.720001,49.389999,47.066395,3609500
2007-02-05,49.299999,49.500000,48.720001,49.049999,46.742390,1961200
2007-02-06,49.400002,49.700001,49.130001,49.299999,46.980625,2074400
2007-02-07,49.049999,49.779999,49.049999,49.709999,47.371326,2866900
2007-02-08,49.650002,49.900002,48.500000,48.930000,46.628025,5046400
2007-02-09,49.270000,49.480000,48.419998,48.689999,46.399326,2471000
2007-02-12,48.549999,48.849998,47.330002,47.500000,45.265301,3650300
2007-02-13,47.750000,47.939999,46.549999,46.919998,44.712597,4618400
2007-02-14,47.000000,47.730000,47.000000,47.599998,45.360596,3081400
2007-02-15,47.680000,48.220001,47.680000,48.020000,45.760834,2218700
2007-02-16,47.750000,47.759998,47.250000,47.630001,45.389194,2172400
2007-02-20,47.529999,48.020000,47.240002,47.950001,45.694145,2098900
2007-02-21,47.950001,48.080002,47.660000,47.700001,45.455891,1914200
2007-02-22,47.849998,48.040001,47.160000,47.240002,45.017540,1911700
2007-02-23,47.240002,47.520000,46.779999,47.439999,45.208126,1867900
2007-02-26,48.000000,48.000000,46.660000,46.840000,44.636360,1793600
2007-02-27,46.259998,46.459999,44.560001,45.500000,43.359398,4384800
2007-02-28,45.500000,45.959999,45.000000,45.259998,43.130688,4782100
2007-03-01,45.000000,45.750000,43.740002,45.560001,43.416588,6815700
2007-03-02,45.500000,45.560001,44.240002,44.270000,42.187283,4365500
2007-03-05,43.799999,44.610001,43.599998,44.160000,42.082451,4231700
2007-03-06,45.000000,45.270000,44.500000,44.830002,42.720921,3565400
2007-03-07,44.830002,45.500000,44.709999,45.330002,43.197395,4397600
2007-03-08,45.549999,46.380001,45.389999,45.889999,43.731060,3045200
2007-03-09,46.139999,46.349998,45.750000,45.930000,43.769169,2371100
